;name;platform;year_of_release
183;madden nfl 2004;ps2;2003
377;fifa soccer 2004;ps2;2003
456;lego batman: the videogame;wii;2008
475;wwe smackdown vs. raw 2006;ps2;2004
609;space invaders;2600;1978
627;rock band;x360;2007
657;frogger's adventures: temple of the frog;gba;2001
678;lego indiana jones: the original adventures;wii;2008
719;call of duty 3;wii;2006
805;rock band;wii;2007
1131;call of duty: black ops;pc;2010
1142;rock band;ps3;2007
1301;triple play 99;ps;1998
1506;adventure;2600;1980
1538;lego batman: the videogame;psp;2008
1585;combat;2600;1977
1609;lego harry potter: years 5-7;wii;2011
1650;nascar thunder 2003;ps2;2002
1699;hitman 2: silent assassin;xb;2002
1840;rock band;ps2;2007
1984;legacy of kain: soul reaver;ps;1999
2010;donkey kong land iii;gb;1997
2106;air-sea battle;2600;1977
2108;suikoden iii;ps2;2002
2132;lego harry potter: years 5-7;x360;2011
2157;wheel of fortune;ps2;1996
2169;yakuza 4;ps3;2010
2273;lego harry potter: years 5-7;ps3;2011
2281;namco museum;xb;1995
2361;rhythm heaven;wii;2008
2453;the lord of the rings: war in the north;x360;2011
2479;madden nfl 07;psp;2006
2492;mlb slugfest 20-03;ps2;2002
2522;the lord of the rings: war in the north;ps3;2011
2536;shaun white snowboarding;x360;2008
2572;pes 2009: pro evolution soccer;psp;2016
2773;warioware: twisted!;gba;2004
2849;madden nfl 11;wii;2010
2969;test drive unlimited 2;x360;2011
3024;the chronicles of narnia: the lion, the witch and the wardrobe;gba;2005
3081;lego harry potter: years 5-7;ds;2011
3187;monster hunter 2;ps2;2006
3223;metal gear solid 2: substance;xb;2002
3233;test drive unlimited 2;ps3;2011
3289;advance wars: days of ruin;ds;2008
3352;the golden compass;wii;2007
3413;madden nfl 06;x360;2005
3459;nascar: dirt to daytona;ps2;2002
3486;madden nfl 2002;xb;2001
3704;def jam: fight for ny;xb;2004
3739;nba street vol. 2;gc;2003
3883;fishing derby;2600;1980
3997;wet;x360;2009
4127;sonic the hedgehog;ps3;1991
4132;karate;2600;1984
4205;tiger woods pga tour 07;wii;2006
4220;circus atari;2600;1980
4294;the chronicles of riddick: escape from butcher bay;xb;2004
4337;maze craze: a game of cops 'n robbers;2600;1980
4373;silent hill: homecoming;x360;2008
4437;super breakout;2600;1978
4445;robert ludlum's the bourne conspiracy;x360;2008
4635;nhl slapshot;wii;2010
4648;tera;pc;2011
4775;nfl gameday 2003;ps2;2002
4818;lego harry potter: years 5-7;3ds;2011
4848;harvest moon: save the homeland;ps2;2001
4945;robert ludlum's the bourne conspiracy;ps3;2008
4959;silent hill: homecoming;ps3;2008
5041;hangman;2600;1978
5070;the golden compass;psp;2007
5156;nba live 2003;xb;2002
5194;cubix robots for everyone: clash 'n' bash;gba;2002
5294;dragon ball z: budokai tenkaichi 2 (jp sales);wii;2006
5326;tropico 4;x360;2011
5336;tomb raider (2013);pc;2013
5443;bejeweled 3;ds;2010
5492;custom robo;n64;2004
5588;final fantasy xi;ps2;2002
5624;singularity;x360;2010
5642;dragster;2600;1980
5655;all-star baseball 2005;ps2;2005
5769;star wars jedi knight ii: jedi outcast;xb;2002
5800;slot machine;2600;2009
5857;the dukes of hazzard ii: daisy dukes it out;ps;2000
5874;harvest moon: the tale of two towns;3ds;2010
5889;nba live 2003;gc;2002
5932;shrek the third;ds;2007
6019;nicktoons: battle for volcano island;gc;2006
6101;haven: call of the king;ps2;2002
6133;unreal championship 2: the liandri conflict;xb;2005
6180;the chronicles of narnia: the lion, the witch and the wardrobe;gc;2005
6199;pac-man fever;gc;1980
6255;the legend of zelda: the minish cap(weekly jp sales);gba;2004
6266;indy 500;2600;1995
6293;disgaea 3: absence of detention;psv;2008
6299;flag capture;2600;1978
6342;gun;x360;2005
6356;rock revolution;ps3;2008
6476;lego harry potter: years 5-7;psp;2011
6624;college hoops 2k6;ps2;2005
6636;jonah lomu rugby challenge;ps3;2011
6773;mega man x collection;ps2;2006
6818;bioshock 2;pc;2010
6861;singularity;ps3;2010
6899;danganronpa: trigger happy havoc;psp;2010
6954;jet x20;ps2;2002
6999;tony hawk's downhill jam;wii;2006
7008;tribes: aerial assault;ps2;2002
7108;big beach sports 2;wii;2010
7210;lego harry potter: years 5-7;pc;2011
7332;yu yu hakusho: dark tournament;ps2;2004
7353;ghostbusters ii;2600;1989
7354;breakaway iv;2600;1978
7367;robotech: battlecry;xb;2002
7387;move fitness;ps3;2012
7391;valkyria chronicles iii: unrecorded chronicles;psp;2011
7406;dancedancerevolution ii;wii;2011
7584;wrc: fia world rally championship;ps3;2001
7605;famista 64;n64;1997
7724;dead space 3;pc;2013
7735;test drive unlimited 2;pc;2011
7848;pet zombies;3ds;2011
8023;star trek: legacy;x360;2006
8067;backbreaker;x360;2009
8150;twisted metal: small brawl;ps;2001
8151;otomedius excellent;x360;2011
8197;nba starting five;ps2;2002
8212;teen titans;gba;2006
8250;trauma team;wii;2010
8260;backbreaker;ps3;2009
8319;james cameron's dark angel;ps2;2002
8364;sword of the samurai;ps2;1989
8500;splatterhouse;ps3;1988
8547;alone in the dark: the new nightmare;ps;2001
8632;vegas party;wii;2009
8680;jurassic park: the game;x360;2011
8740;home run;2600;1978
8884;ejay clubworld;ps2;1997
8918;all-star baseball 2005;xb;2005
9043;bejeweled 3;ps3;2010
9119;our house party!;wii;2009
9151;wcw backstage assault;n64;2000
9218;bejeweled 3;x360;2010
9293;disney's cinderella: magical dreams;gba;2005
9380;transworld surf;xb;2001
9485;street fighter iv;pc;2008
9516;nintendo puzzle collection;gc;2003
9664;charm girls club: my fashion mall;ds;2009
9703;record of agarest war zero;ps3;2009
9706;rocksmith;pc;2011
9738;super robot wars og saga: masou kishin ii - revelation of evil god;psp;2012
9761;saru! get you! million monkeys;ps2;2006
9817;street hoops;gc;2002
9827;wrc: fia world rally championship;x360;2001
9830;godzilla: destroy all monsters melee;xb;2002
9855;the daring game for girls;ds;2010
9876;major league baseball 2k6;psp;2006
